WWTracker, , , , 
TimeStamp,X,Y,Z, 
0.005,31.0999,-87.712,63.2837, 
0.155,31.1225,-86.0891,63.5765, 
0.157,31.1225,-86.0891,63.5765, 
0.316,31.0999,-87.712,63.2837, 
0.318,31.0999,-87.712,63.2837, 
0.475,31.0999,-87.712,63.2837, 
0.477,31.0999,-87.712,63.2837, 
0.632,31.0999,-87.712,63.2837, 
0.793,31.0999,-87.712,63.2837, 
0.795,31.0999,-87.712,63.2837, 
0.952,31.0999,-87.712,63.2837, 
0.954,31.0999,-87.712,63.2837, 
1.111,31.0999,-87.712,63.2837, 
1.113,31.0999,-87.712,63.2837, 
1.27,31.0999,-87.712,63.2837, 
1.272,31.0999,-87.712,63.2837, 
1.432,31.0999,-87.712,63.2837, 
1.434,31.0999,-87.712,63.2837, 
1.591,31.0999,-87.712,63.2837, 
1.594,31.0999,-87.712,63.2837, 
1.75,31.0999,-87.712,63.2837, 
1.753,31.0999,-87.712,63.2837, 
1.908,31.0999,-87.712,63.2837, 
1.909,31.0999,-87.712,63.2837, 
2.069,31.0999,-87.712,63.2837, 
2.072,31.0999,-87.712,63.2837, 
2.229,31.0999,-87.712,63.2837, 
2.232,31.0999,-87.712,63.2837, 
2.387,31.0999,-87.712,63.2837, 
2.389,31.0999,-87.712,63.2837, 
2.549,31.0999,-87.712,63.2837, 
2.551,31.0999,-87.712,63.2837, 
2.709,31.0999,-87.712,63.2837, 
2.711,31.0999,-87.712,63.2837, 
2.869,31.0999,-87.712,63.2837, 
2.872,31.0999,-87.712,63.2837, 
3.026,31.0999,-87.712,63.2837, 
3.028,31.0999,-87.712,63.2837, 
3.187,31.0999,-87.712,63.2837, 
3.19,31.0999,-87.712,63.2837, 
3.346,31.0999,-87.712,63.2837, 
3.349,31.0999,-87.712,63.2837, 
3.504,31.0999,-87.712,63.2837, 
3.506,31.0999,-87.712,63.2837, 
3.665,31.0999,-87.712,63.2837, 
3.668,31.0999,-87.712,63.2837, 
3.825,31.0999,-87.712,63.2837, 
3.828,31.0999,-87.712,63.2837, 
3.983,31.0999,-87.712,63.2837, 
3.985,31.0999,-87.712,63.2837, 
4.145,31.0999,-87.712,63.2837, 
4.148,31.0999,-87.712,63.2837, 
4.3,31.0999,-87.712,63.2837, 
4.302,31.0999,-87.712,63.2837, 
4.464,31.0999,-87.712,63.2837, 
4.62,31.0999,-87.712,63.2837, 
4.622,31.0999,-87.712,63.2837, 
4.778,31.0999,-87.712,63.2837, 
4.781,31.0999,-87.712,63.2837, 
4.94,31.0999,-87.712,63.2837, 
4.942,31.0999,-87.712,63.2837, 
5.098,31.0999,-87.712,63.2837, 
5.101,31.0999,-87.712,63.2837, 
5.261,31.0999,-87.712,63.2837, 
5.263,31.0999,-87.712,63.2837, 
5.421,31.0999,-87.712,63.2837, 
5.424,31.0999,-87.712,63.2837, 
5.576,31.0999,-87.712,63.2837, 
5.579,31.0999,-87.712,63.2837, 
5.735,31.0999,-87.712,63.2837, 
5.737,31.0999,-87.712,63.2837, 
5.897,31.0999,-87.712,63.2837, 
5.9,31.0999,-87.712,63.2837, 
6.057,31.0999,-87.712,63.2837, 
6.06,31.0999,-87.712,63.2837, 
6.215,31.0999,-87.712,63.2837, 
6.218,31.0999,-87.712,63.2837, 
6.375,31.1225,-86.0891,63.5765, 
6.378,31.1225,-86.0891,63.5765, 
6.536,31.0999,-87.712,63.2837, 
6.539,31.0999,-87.712,63.2837, 
